,stt,poiDesc,poiAddr,dientich,coords,poiLat,poiLong,geometry
167,168,Khách sạn Jade Scene Hotel ,935353117,271.0,"16.46951765457458, 107.59701682343812",16.46951765457458,107.59701682343812,POINT (107.59701682343812 16.46951765457458)
168,169,Khách sạn Khải Hoàn,0234 3826724,250.0,"16.468735000690796, 107.59903940936748",16.468735000690796,107.59903940936748,POINT (107.59903940936748 16.468735000690796)
169,170,Khách sạn Lâm Bảo Long,903599727,80.0,"16.470566966848768, 107.59454691184301",16.470566966848768,107.59454691184301,POINT (107.59454691184301 16.470566966848768)
170,171,Khách sạn Minh Hiếu,0234 3828725,150.0,"16.470681198303897, 107.59521015064075",16.470681198303897,107.59521015064075,POINT (107.59521015064075 16.470681198303897)
171,172,Khách sạn Minh Long,0234 3857575,180.0,"16.472902923633175, 107.60185254376971",16.472902923633175,107.60185254376971,POINT (107.60185254376971 16.472902923633175)
172,173,Khách sạn Nam Hold Hotel,912564566,127.0,"16.46913488657344, 107.59475553533194",16.46913488657344,107.59475553533194,POINT (107.59475553533194 16.46913488657344)
173,174,Khách sạn New Time,234.3822765,136.0,"16.468524155146717, 107.59403599699003",16.468524155146717,107.59403599699003,POINT (107.59403599699003 16.468524155146717)
174,175,Khách sạn Ngọc Bình,0234 3819860,98.4,"16.464361677951107, 107.59279049901068",16.464361677951107,107.59279049901068,POINT (107.59279049901068 16.464361677951107)
176,177,Khách sạn Như Hiền,0234 3822908,178.0,"16.478712578495305, 107.59561610000091",16.478712578495305,107.59561610000091,POINT (107.59561610000091 16.478712578495305)
177,178,Khách sạn Như Ngọc,932555952,250.0,"16.45399804873288, 107.57451256205074",16.45399804873288,107.57451256205074,POINT (107.57451256205074 16.45399804873288)
178,179,Khách sạn Pao,905564275,150.0,"16.468904633313166, 107.59567169388347",16.468904633313166,107.59567169388347,POINT (107.59567169388347 16.468904633313166)
179,180,Khách sạn Phong Nha ,234.3827729,170.0,"16.464556327526505, 107.5926992876274",16.464556327526505,107.5926992876274,POINT (107.5926992876274 16.464556327526505)
